Lightwright ID,Channel,Position,Unit#,Instrument Type,Purpose,Address,Position Order
1D4918:470:10:39:Vecto,204,DECK EDGE,6,GLP impression X5 Bar 1000,FOOTLIGHTS,7/349,5
9450E2:4ED:10:39:Vecto,205,DECK EDGE,5,GLP impression X5 Bar 1000,FOOTLIGHTS,8/1,5
11EF2B:4D4:10:39:Vecto,206,DECK EDGE,4,GLP impression X5 Bar 1000,FOOTLIGHTS,8/85,5
4CE040:4BB:10:39:Vecto,207,DECK EDGE,3,GLP impression X5 Bar 1000,FOOTLIGHTS,8/169,5
6813E6:4A2:10:39:Vecto,208,DECK EDGE,2,GLP impression X5 Bar 1000,FOOTLIGHTS,8/253,5
2DB105:489:10:39:Vecto,209,DECK EDGE,1,GLP impression X5 Bar 1000,FOOTLIGHTS,8/337,5
7177FA:7C2:10:39:Vecto,301,5E,5,ChromaQ Colorforce II 72,DROPS,9/1,10
33A09D:7DB:10:39:Vecto,302,5E,4,ChromaQ Colorforce II 72,DROPS,9/104,10
7D6772:826:10:39:Vecto,303,5E,3,ChromaQ Colorforce II 72,DROPS,9/207,10
3AEA06:80D:10:39:Vecto,304,5E,2,ChromaQ Colorforce II 72,DROPS,9/310,10
4180D6:7F4:10:39:Vecto,305,5E,1,ChromaQ Colorforce II 72,DROPS,10/1,10
8454C5:745:10:39:Vecto,311,GROUNDROW,5,ChromaQ Colorforce II 72,DROPS,10/104,11
50511F:75E:10:39:Vecto,312,GROUNDROW,4,ChromaQ Colorforce II 72,DROPS,10/207,11
194BD7:7A9:10:39:Vecto,313,GROUNDROW,3,ChromaQ Colorforce II 72,DROPS,10/310,11
7EF1E8:790:10:39:Vecto,314,GROUNDROW,2,ChromaQ Colorforce II 72,DROPS,11/1,11
6BC385:777:10:39:Vecto,315,GROUNDROW,1,ChromaQ Colorforce II 72,DROPS,11/104,11
3F18E5:506:10:39:Vecto,401,FOH TRUSS,23,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/207,2
1CAFC7:51F:10:39:Vecto,402,FOH TRUSS,22,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/219,2
34E2FF:551:10:39:Vecto,403,FOH TRUSS,20,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/231,2
5595EC:56A:10:39:Vecto,404,FOH TRUSS,19,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/243,2
8BCE79:59C:10:39:Vecto,405,FOH TRUSS,17,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/255,2
90A763:5B5:10:39:Vecto,406,FOH TRUSS,16,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/267,2
50FE2C:5E7:10:39:Vecto,407,FOH TRUSS,14,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/279,2
4CEE3B:600:10:39:Vecto,408,FOH TRUSS,13,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/291,2
1AA199:713:10:39:Vecto,409,FOH TRUSS,11,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/303,2
5FEAC3:6FA:10:39:Vecto,410,FOH TRUSS,10,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/315,2
2E5D96:6C8:10:39:Vecto,411,FOH TRUSS,8,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/327,2
62054B:6AF:10:39:Vecto,412,FOH TRUSS,7,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/339,2
226EFF:67D:10:39:Vecto,413,FOH TRUSS,5,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/351,2
5C6C26:664:10:39:Vecto,414,FOH TRUSS,4,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/363,2
2DAC17:632:10:39:Vecto,415,FOH TRUSS,2,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/375,2
20A945:619:10:39:Vecto,416,FOH TRUSS,1,ETC Source 4 LED Series 3 Lustr X8 14°,FRONTLIGHT,11/387,2
729FF1:376:10:39:Vecto,421,BOX BOOM L,7,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/399,3
9DDDD:312:10:39:Vecto,422,BOX BOOM L,8,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/411,3
498B40:38F:10:39:Vecto,423,BOX BOOM L,5,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/423,3
66C965:32B:10:39:Vecto,424,BOX BOOM L,6,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/435,3
735DDB:3A8:10:39:Vecto,425,BOX BOOM L,3,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/447,3
603F64:344:10:39:Vecto,426,BOX BOOM L,4,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/459,3
537494:3C1:10:39:Vecto,427,BOX BOOM L,1,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/471,3
178932:35D:10:39:Vecto,428,BOX BOOM L,2,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/483,3
22C29A:2AE:10:39:Vecto,431,BOX BOOM R,1,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,11/495,4
D6A7C:24A:10:39:Vecto,432,BOX BOOM R,2,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/1,4
398FC1:2C7:10:39:Vecto,433,BOX BOOM R,3,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/13,4
327492:263:10:39:Vecto,434,BOX BOOM R,4,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/25,4
4810D8:2E0:10:39:Vecto,435,BOX BOOM R,5,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/37,4
5EF8F:27C:10:39:Vecto,436,BOX BOOM R,6,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/49,4
7B8316:2F9:10:39:Vecto,437,BOX BOOM R,7,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/61,4
7B8242:295:10:39:Vecto,438,BOX BOOM R,8,ETC Source 4 LED Series 3 Lustr X8 26°,DIAGONAL SIDE,12/73,4
8D2561:3DA:10:39:Vecto,501,SPOT BOOTH,3,Robe Lighting iForte LTX,FOLLOWSPOT,12/85,1
25FA5D:40C:10:39:Vecto,502,SPOT BOOTH,2,Robe Lighting iForte LTX,FOLLOWSPOT,12/139,1
BA3BE:3F3:10:39:Vecto,503,SPOT BOOTH,1,Robe Lighting iForte LTX,FOLLOWSPOT,12/193,1
